年,地區,總計 活動個數,總計 出席人次,視覺藝術,工藝,設計,音樂,戲劇,舞蹈,說唱,影片,民俗,語文,圖書,綜藝,其他
2012,臺閩地區,64534,228304,5935,2696,1262,8541,4066,2014,139,12356,4324,10396,5531,2883,4391
2012,臺灣地區,64101,228085,5874,2681,1259,8496,4034,2000,134,12254,4298,10384,5525,2854,4308
2012,北部地區,23515,107633,2367,997,599,3185,2033,804,91,5472,2008,2861,1258,843,997
2012,臺北市,5976,53298,1067,157,406,1532,913,259,41,503,458,230,36,108,266
2012,新北市,6563,28920,418,259,48,446,271,90,8,2427,505,714,742,341,294
2012,基隆市,883,1190,107,60,5,60,92,104,13,104,108,98,28,40,64
2012,新竹市,1915,2489,172,276,17,232,64,48,6,550,34,172,43,78,223
2012,桃園縣,4180,12996,367,134,57,476,189,75,10,1284,317,751,282,207,31
2012,新竹縣,1074,2639,112,47,8,74,39,26,0,115,87,494,33,9,30
2012,宜蘭縣,2924,6101,124,64,58,365,465,202,13,489,499,402,94,60,89
2012,中部地區,16741,66705,1816,869,436,1812,924,606,10,3875,966,1120,2360,787,1160
2012,臺中市,8715,27445,879,272,239,848,365,170,7,2354,401,570,1692,327,591
2012,苗栗縣,840,10557,87,198,11,177,49,74,0,67,45,36,10,58,28
2012,彰化縣,4173,21517,530,163,139,461,355,316,0,789,206,128,446,185,455
2012,南投縣,2336,6018,241,223,37,214,78,29,2,589,258,210,190,199,66
2012,雲林縣,677,1168,79,13,10,112,77,17,1,76,56,176,22,18,20
2012,南部地區,21613,49941,1434,669,207,3009,948,548,27,2644,1033,6346,1674,1008,2066
2012,高雄市,9852,24758,558,294,56,776,258,187,4,1287,126,4045,1290,253,718
2012,臺南市,7693,17151,527,250,113,1771,336,259,14,549,590,1596,221,368,1099
2012,嘉義市,1120,1667,142,65,15,158,69,27,1,374,33,106,46,44,40
2012,嘉義縣,767,1633,43,3,4,53,105,25,4,94,34,320,16,41,25
2012,屏東縣,1791,4398,129,35,11,216,171,42,3,267,210,215,88,254,150
2012,澎湖縣,390,334,35,22,8,35,9,8,1,73,40,64,13,48,34
2012,東部地區,2232,3806,257,146,17,490,129,42,6,263,291,57,233,216,85
2012,花蓮縣,1047,1551,163,85,1,213,64,25,3,196,102,37,84,25,49
2012,臺東縣,1185,2255,94,61,16,277,65,17,3,67,189,20,149,191,36
2012,福建省,433,219,61,15,3,45,32,14,5,102,26,12,6,29,83
2012,金門縣,131,63,16,2,0,6,5,2,0,43,4,9,3,17,48
2012,連江縣,302,156,45,13,3,39,27,12,5,59,22,3,3,12,35
