年,地區,總計 活動個數,總計 出席人次,視覺藝術,工藝,設計,音樂,戲劇,舞蹈,說唱,影片,民俗,語文,圖書,綜藝,其他
2014,臺閩地區,64685,263297,5419,2285,1005,8566,4013,1418,164,12569,5411,18191,18191,2747,2897
2014,臺灣地區,64323,262873,5346,2278,999,8430,3978,1409,163,11547,5355,18133,18133,2733,2852
2014,北部地區,26005,129514,2183,983,562,3392,2070,727,94,5403,2333,5957,5957,769,532
2014,臺北市,6687,55871,967,121,380,1571,885,206,54,1512,446,347,347,86,112
2014,新北市,8452,32839,364,234,39,484,261,102,11,1914,596,3024,3024,275,148
2014,基隆市,709,4658,95,21,3,54,91,103,4,117,43,97,97,18,63
2014,新竹市,2577,6630,196,393,28,239,127,74,8,667,134,440,440,137,134
2014,桃園市,3848,16648,379,104,44,509,211,66,8,754,533,1051,1051,166,23
2014,新竹縣,1083,5713,96,19,11,84,49,15,3,106,132,487,487,56,25
2014,宜蘭縣,2649,7155,86,91,57,451,446,161,6,333,449,511,511,31,27
2014,中部地區,14597,56812,1490,605,225,1697,840,216,35,3390,859,3677,3677,869,694
2014,臺中市,7535,27127,635,183,102,756,256,90,11,2098,251,2567,2567,257,329
2014,苗栗縣,838,4343,88,127,10,149,70,25,16,57,101,155,155,37,3
2014,彰化縣,3051,11429,413,75,78,466,336,55,4,365,257,404,404,294,304
2014,南投縣,2428,12414,227,195,24,241,89,32,2,750,179,390,390,247,52
2014,雲林縣,745,1499,127,25,11,85,89,14,2,120,71,161,161,34,6
2014,南部地區,21282,65813,1467,606,202,2962,896,382,21,2497,1801,7947,7947,986,1515
2014,高雄市,9126,37334,571,143,89,791,269,129,10,898,282,5094,5094,264,586
2014,臺南市,9118,20548,544,349,82,1754,382,161,7,945,1285,2296,2296,514,799
2014,嘉義市,964,2239,128,50,9,165,70,20,1,305,48,98,98,29,41
2014,嘉義縣,704,3591,89,12,6,65,86,28,2,61,70,185,185,62,38
2014,屏東縣,1018,1760,90,34,6,143,80,33,1,234,84,192,192,75,46
2014,澎湖縣,352,341,45,18,10,44,9,11,,54,32,82,82,42,5
2014,東部地區,2439,10734,206,84,10,379,172,84,13,257,362,552,552,109,111
2014,花蓮縣,1109,4230,115,47,1,147,55,26,10,98,133,393,393,14,70
2014,臺東縣,1330,6504,91,37,9,232,117,58,3,159,229,159,159,95,41
2014,福建省,362,406,73,7,6,36,35,9,1,22,56,58,58,14,45
2014,金門縣,238,341,63,5,4,32,19,7,1,6,45,12,12,11,33
2014,連江縣,124,65,10,2,2,4,16,2,0,16,11,46,46,3,12
