年,地區,總計 活動個數,總計 出席人次,視覺藝術,工藝,設計,音樂,戲劇,舞蹈,說唱,影片,民俗,語文,圖書,綜藝,其他
2013,臺閩地區,66389,254307,6156,3024,1320,8742,3954,1823,139,12450,4738,11291,5564,2745,4443
2013,臺灣地區,65769,254012,6064,3008,1316,8679,3930,1813,120,12329,4678,11261,5559,2720,4292
2013,北部地區,24666,137769,2565,1224,701,3309,2149,665,72,5370,2024,3578,1320,814,875
2013,臺北市,5910,58258,1204,206,456,1506,865,214,29,503,372,296,21,104,134
2013,新北市,6896,30580,378,243,47,403,312,55,15,2492,484,1097,866,243,261
2013,基隆市,814,3735,111,21,,69,98,99,1,117,78,89,20,43,68
2013,新竹市,2433,6083,212,460,29,245,74,74,13,577,68,353,25,96,207
2013,桃園縣,4383,17164,382,134,88,549,186,77,9,1223,385,811,301,220,18
2013,新竹縣,1245,15784,157,38,9,110,38,29,3,94,187,466,40,52,22
2013,宜蘭縣,2985,6165,121,122,72,427,576,117,2,364,450,466,47,56,165
2013,中部地區,17034,47866,1830,859,364,2156,712,523,33,3739,1031,1259,2500,837,1191
2013,臺中市,9077,24838,871,282,186,851,284,119,20,2398,379,806,1988,370,523
2013,苗栗縣,856,3278,98,126,16,199,72,80,6,52,104,6,2,73,22
2013,彰化縣,3660,12101,514,138,109,488,239,278,4,440,243,127,362,188,530
2013,南投縣,2611,6311,245,298,46,246,81,37,3,818,222,207,147,179,82
2013,雲林縣,830,1338,102,15,7,372,36,9,,31,83,113,1,27,34
2013,南部地區,22167,64856,1491,838,244,2978,920,582,13,2943,1318,6388,1345,942,2165
2013,高雄市,9765,39119,572,307,94,798,274,190,1,1196,199,4114,900,321,799
2013,臺南市,9004,18948,592,408,111,1743,392,273,9,1037,867,1728,316,329,1199
2013,嘉義市,1177,1665,150,59,15,171,67,40,2,375,35,126,48,44,45
2013,嘉義縣,782,2582,64,6,2,68,96,38,1,71,66,315,2,37,16
2013,屏東縣,1038,2175,86,45,20,142,83,34,,194,106,37,67,159,65
2013,澎湖縣,401,367,27,13,2,56,8,7,,70,45,68,12,52,41
2013,東部地區,1902,3521,178,87,7,236,149,43,2,277,305,36,394,127,61
2013,花蓮縣,995,1344,111,61,2,111,48,29,1,150,155,25,251,7,44
2013,臺東縣,907,2177,67,26,5,125,101,14,1,127,150,11,143,120,17
2013,福建省,620,295,92,16,4,63,24,10,19,121,60,30,5,25,151
2013,金門縣,391,275,77,14,1,43,18,9,18,60,39,13,5,18,76
2013,連江縣,229,20,15,2,3,20,6,1,1,61,21,17,,7,75
